en,zh,confidence
one can't carry two watermelons under one arm,一心不可二用,8
one can't hold two watermelons in one hand,一心不可二用,8
"one can't live with them, one can't live without them",有它烦没它更烦,6
one cannot break a stick in a bundle,众人拾柴火焰高,8
one cannot break a twig in a bundle,众人拾柴火焰高,8
one good turn deserves another,投桃报李,10
one hair of a woman can draw more than a hundred pair of oxen,红颜祸水,5
one half of the world does not know how the other half lives,朱门酒肉臭，路有冻死骨,7
one hand can't hold two watermelons,一心不可二用,8
one hand washes the other,礼尚往来,8
one kind word can warm three winter months,良言一句三冬暖,10
one law for the rich and another for the poor,王子犯法与庶民不同罪,7
one man's fish is another man's poison,甲之蜜糖，乙之砒霜,10
one man's fish is another man's poisson,甲之蜜糖，乙之砒霜,10
one man's loss is another man's gain,此消彼长,8
one man's meat is another man's poison,甲之蜜糖，乙之砒霜,10
out of sight is out of mind,眼不见心不烦,9
"out of sight, out of mind",眼不见心不烦,9
out of the frying pan and into the fire,刚出狼窝，又入虎口,9
out of the mouths of babes,童言无忌,8
out of the mouths of babes and sucklings,童言无忌,8
"outta sight, outta mind",眼不见心不烦,9
patience is a virtue,心急吃不了热豆腐,8
pearls of wisdom,金玉良言,9
penny wise and pound foolish,贪小便宜吃大亏,10
"penny, penny. makes many",积少成多,10
people that live in glass houses should not throw stones,己所不欲，勿施于人,8
people that live in glass houses shouldn't throw stones,己所不欲，勿施于人,8
"people who have, get",钱生钱，利滚利,7
"people who have, get more",强者愈强，弱者愈弱,7
people who live in glass houses should not throw stones,己所不欲，勿施于人,8
a dumb priest never got a parish,会哭的孩子有奶吃,7
a man can do what he wills but he cannot will what he wills,江山易改，本性难移,6
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,一日之计在于晨，一年之计在于春,6
all politics are local,天下大事，必作于细,4
all politics is local,天下大事，必作于细,4
all that glitters,闪光的不都是金子,9
another day in paradise,身在福中不知福,5
as queer as a three dollar bill,稀奇古怪,3
ask my companion if i be a thief,贼喊捉贼,8
buy the same horse twice,一脚踏进同一条河,3
common sense is neither common nor sensical,世上不缺聪明人，只缺常识,3
denial is not a river in egypt,掩耳盗铃,6
"february fill dyke, be it black or be it white",春雨贵如油,4
fool me once,一朝被蛇咬，十年怕井绳,7
"he who can, does; he who cannot, teaches",会者不难，难者不会,4
knee-high by the fourth of july,麦苗过膝收成欢,5
love the sinner but hate the sin,恨其罪不恨其人,9
"love the sinner, hate the sin",恨其罪不恨其人,9
mackerel sky and mare's-tails make lofty ships carry low sails,鱼鳞天，不雨也风颠,8
mackerel sky and mare's-tails make tall ships carry low sails,鱼鳞天，不雨也风颠,8
march comes in like a lion and goes out like a lamb,三月不知肉味,3
memory is the treasure of the mind,好记性不如烂笔头,4
milking the bull,缘木求鱼,9
mocking is catching,常在河边走，哪有不湿鞋,4
money won is twice as sweet as money earned,不劳而获最得意,6
nearly never bulled a cow,差之毫厘，失之千里,9
one should never meet one's heroes,英雄近看也是凡人,5
only fools and horses work,只有牛马才干活,4
only the good die young,好人不长命，祸害遗千年,9
people who live in glass houses shouldn't throw stones,己所不欲，勿施于人,8
perfect is the enemy of good,不要让完美成为好事的敌人,6
perfect is the enemy of good enough,过犹不及,8
perfection is the enemy of good,过犹不及,8
"physician, heal thyself",医不自治,9
pitchers have ears,隔墙有耳,10
"play stupid games, win stupid prizes",自作自受,9
plus ça change,江山易改，本性难移,7
possession is nine points of the law,先下手为强,4
possession is nine-tenths of the law,先下手为强,4
"power corrupts, absolute power corrupts absolutely",权力导致腐败，绝对的权力导致绝对的腐败,8
power corrupts; absolute power corrupts absolutely,权力导致腐败，绝对的权力导致绝对的腐败,8
practice makes perfect,熟能生巧,10
practice makes progress,学无止境,6
practice what you preach,言行一致,9
preaching to the choir,对牛弹琴,5
pressure makes diamonds,玉不琢不成器,8
prevention is better than cure,防患于未然,10
pride comes before a fall,骄兵必败,10
pride comes before the fall,骄兵必败,10
pride comes/goes before a fall,骄兵必败,10
pride cometh before a fall,骄兵必败,10
pride goes before a fall,骄兵必败,10
pride goeth before a fall,骄兵必败,10
pride wenteth before a fall,骄兵必败,9
procrastination is the thief of time,一寸光阴一寸金，寸金难买寸光阴,8
proverbs come in pairs,成语成双，俗语成对,3
proverbs go in pairs,成语成双，俗语成对,3
proverbs hunt in pairs,成语成双，俗语成对,3
proverbs often come in pairs,成语成双，俗语成对,3
proverbs run in pairs,成语成双，俗语成对,3
put one's hand to the plough,一不做二不休,6
put your best foot forward,全力以赴,9
put your money where your mouth is,拿出真金白银来说话,7
putting the cart before the horse,本末倒置,10
quidquid latine dictum sit altum videtur,洋文一说就高大上,4
"race on sunday, sell on monday",赛场是最好的广告,5
rain does not fall on one roof alone,福无双至，祸不单行,6
"ready, fire, aim",先上车后补票,7
reason is the slave of passion,一念之差，误尽一生,4
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning",早霞不出门，晚霞行千里,9
"red sky at night, sailors' delight; red sky at morn, sailors forlorn",早霞不出门，晚霞行千里,9
"red sky at night, sailors' delight; red sky at morning, sailors take warning",早霞不出门，晚霞行千里,9
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn",早霞不出门，晚霞行千里,9
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning",早霞不出门，晚霞行千里,9
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning",早霞不出门，晚霞行千里,9
render unto caesar the things which are caesar's,各归各位，各得其所,6
"repetition, repetition, repetition",熟能生巧,10
"respect is not given, it is earned",要人敬，先自敬,9
revenge is a dish best served cold,君子报仇，十年不晚,10
revenge is sweet,报仇雪恨，快意非常,7
revolutions are not made with rosewater,革命不是请客吃饭,10
silence is oppression,沉默也是一种暴力,7
sisters before misters,姐妹情深胜过儿女情长,5
small rain lays great dust,细雨能润万物,4
snitches get stitches,多嘴惹祸,6
snitches get stitches and end up in ditches,多嘴惹祸,5
snitches get stitches and wind up in ditches,多嘴惹祸,5
so far so bad,每况愈下,7
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,三人行，必有我师,5
"sticks and stones may break my bones, but words will never hurt me",清者自清，浊者自浊,5
success is a great deodorant,成王败寇,6
"talk of angels, and hear the flutter of their wings",说曹操曹操到,8
that which has been seen cannot be unseen,一失足成千古恨,6
the comeback is greater than the setback,东山再起,8
the devil looks after his own,老天自有安排,4
the devil takes care of his own,老天自有安排,4
the devil you know,明枪易躲暗箭难防,3
the exception which proves the rule,物极必反,3
the family that prays together stays together,家和万事兴,9
the freaks come out at night,夜长梦多,4
the grey mare is the better horse,巾帼不让须眉,9
the longest pole knocks the persimmon,枪打出头鸟,3
the lord works in mysterious ways,上帝自有安排,8
"the more one learns about people, the more one likes one's pet",人心隔肚皮,6
"the odds are good, but the goods are odd",好货不便宜，便宜没好货,5
the only way to understand a woman is to love her,唯有情字最难解,3
the revolution will not be televised,星星之火，可以燎原,5
the stupid monkey knows not to eat the banana skin,连三岁小孩都知道,4
the world is one's lobster,前途无量,4
there are more horses' asses than horses,林子大了什么鸟都有,8
there are no atheists in foxholes,人在做天在看,4
there is no such thing as bad press,有话题就有市场,3
there is no such thing as bad publicity,有话题就有市场,4
"there is no such thing as bad weather, only bad clothing",人定胜天,3
there is nothing more permanent than a temporary solution,临时的往往变成永久的,5
there is reason in the roasting of eggs,事出必有因,9
there's no business like show business,台上一分钟，台下十年功,4
"those who can't do, teach",会的教不会的，看热闹,2
those who know many languages live as many lives as the languages they know,多一门语言多一条路,8
time goes by slowly when you are living intensely,度日如年,5
time spent laughing is time spent with the gods,笑一笑十年少,9
to learn a language is to have one more window from which to look at the world,多一门语言多一扇窗,9
tokens get spent,有借有还，再借不难,2
treat 'em mean to keep 'em keen,若即若离,6
"treat 'em mean, keep 'em keen",若即若离,6
"treat them mean, keep them keen",若即若离,6
two wrongs make a right,错上加错不能成理,5
watched toast never burns,心急锅不开,8
we are where we are,船到桥头自然直,6
what is the worst that can happen,车到山前必有路,6
what the eye does not see,眼不见心不烦,10
what wins on sunday sells on monday,酒香不怕巷子深,7
where there is a will,有志者事竟成,10
where there's no sense there's no feeling,初生牛犊不怕虎,5
why buy the cow when you can get the milk for free,不花钱的最贵,4
you cannot push a rope,强扭的瓜不甜,8
you don't dip your pen in company ink,公私要分明,6
you don't dip your pen in the company's ink,公私要分明,6
you don't fish off the company pier,公私要分明,6
a language is a dialect with an army and navy,"",1
a watched man never plays,"",1
absence makes the heart go yonder,"",1
another happy landing,"",1
any hole's a goal,"",1
"beer before liquor, never been sicker; liquor before beer, you're in the clear","",1
being poor is a mindset,穷则思变,4
being poor is a state of mind,心穷比身穷更可怕,5
better dead than red,"",1
"bi now, gay later","",1
claret would be port if it could,"",1
"courage is the measure of a man, beauty is the measure of a woman",男看志气女看貌,6
criss-cross applesauce,"",1
do not sympathize with those who can not empathize,不经他人苦，莫劝他人善,7
don't drop the soap,"",1
"drop acid, not bombs","",1
"easy, times easy, is still easy","",1
ecree,"",1
"feed a cold, starve a fever","",1
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
here we are,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
it is on,"",1
it wasn't only only,"",1
iura novit curia,"",1
"leaves of three, let it be","",1
lex dubia non obligat,"",1
lie back and think of england,"",1
like) trying to grow a goose,"",1
"men get spoiled by staying, women get spoiled by wandering",男不离家女不出门,6
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay",一命二运三风水,3
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
"no hymen, no diamond",娶妻娶德不娶色,3
of course my horse,"",1
"once you go black, you never go back","",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning",早霞不出门晚霞行千里,9
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning",早霞不出门晚霞行千里,9
poor is a mindset,穷则思变,4
poor is a state of mind,穷则思变,4
poorness is a state of mind,穷则思变,4
poverty is a mindset,穷则思变,4
poverty is a state of mind,穷则思变,4
proverbs should be sold in pairs,"",1
proverbs should be writ in pairs,"",1
proverbs should come in pairs,"",1
proverbs should go in pairs,"",1
real men don't eat quiche,男儿有泪不轻弹,3
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"sell in may, then go away",股市有风险入市须谨慎,2
"sell in may, then stay away",股市有风险入市须谨慎,2
semper ubi sub ubi,"",1
smooth move,"",1
sore boob means more boob,"",1
spitters are quitters,"",1
the first turn of the screw pays all debts,"",1
the fucking you get isn't worth the fucking you get,"",1
the fucking you get isn't worth the fucking you take,"",1
the fucking you get isn't worth the fucking you're going to get,"",1
the old wooden spoon beats me down,"",1
the screwing you get isn't worth the screwing you get,"",1
the screwing you get isn't worth the screwing you take,"",1
the screwing you get isn't worth the screwing you're going to get,"",1
wanton kittens make sober cats,浪子回头金不换,6
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak",蚂蚁搬家蛇过道明天必有大雨到,5
whoever smelt it dealt it,"",1
why buy a book when you can join a library,何必买牛但求牛奶,6
woman is the root of both good and evil,"",1
wrap it before you tap it,小心驶得万年船,5
y'all means all,言必行行必果,4
you can't turn a hoe into a housewife,江山易改本性难移,9
you don't dip your pen in the inkwell,公私分明,5
you don't get your nookie where you get your cookies,公私分明,6
you must spoil before you spin,不破不立,5
"you smelt it, you dealt it","",1
